iter	Logloss
0	0.6244244431
1	0.5424940674
2	0.4930907298
3	0.4607116794
4	0.4295974094
5	0.4004005772
6	0.3822405964
7	0.3665581226
8	0.350553906
9	0.3384935708
10	0.3291086764
11	0.3158325844
12	0.3088254763
13	0.2976563896
14	0.2930304836
15	0.287197619
16	0.2808903958
17	0.2767375607
18	0.2721430628
19	0.2697017764
20	0.2644199985
21	0.2604726753
22	0.2556378792
23	0.2513540956
24	0.2460154848
25	0.2434989785
26	0.2415288109
27	0.2392948318
28	0.2369046632
29	0.233970138
30	0.232656344
31	0.2296112548
32	0.2270485139
33	0.2236240508
34	0.2209723563
35	0.218954494
36	0.2163495752
37	0.214087646
38	0.212020039
39	0.2096752599
40	0.2084352419
41	0.20567252
42	0.2046615116
43	0.2026913905
44	0.2016361037
45	0.2005956514
46	0.198785264
47	0.1985210112
48	0.1968908709
49	0.195845111
50	0.1950732416
51	0.193463332
52	0.1915521783
53	0.1891465084
54	0.1879911358
55	0.1855113126
56	0.1846482347
57	0.1826120478
58	0.1806592562
59	0.1792456888
60	0.1783220544
61	0.1774385974
62	0.1765074257
63	0.1747059782
64	0.1727226175
65	0.1716736728
66	0.1702992227
67	0.1689447203
68	0.1674844084
69	0.165918619
70	0.1638508681
71	0.1620950928
72	0.1609466577
73	0.1600462025
74	0.1583668841
75	0.156837082
76	0.1552561759
77	0.1538108398
78	0.1520777267
79	0.150791532
80	0.1490543931
81	0.1478596148
82	0.1467585468
83	0.1457343052
84	0.1446887061
85	0.1434567618
86	0.1427342346
87	0.1424661765
88	0.1405856058
89	0.138871891
90	0.1374591183
91	0.1363393805
92	0.1353750355
93	0.1343560659
94	0.133243803
95	0.1321813762
96	0.1312790028
97	0.1300379994
98	0.1290323398
99	0.1287416175
100	0.1274707779
101	0.1262910339
102	0.1250346489
103	0.1244095817
104	0.1233188218
105	0.1222499951
106	0.1218692381
107	0.1204583172
108	0.119716541
109	0.1187014318
110	0.1172825219
111	0.1163482372
112	0.1155639452
113	0.1148340731
114	0.1135384197
115	0.113377437
116	0.1125336215
117	0.1116118924
118	0.1111080659
119	0.1093744532
120	0.1081076523
121	0.1070389725
122	0.1061936178
123	0.1061325823
124	0.1052046623
125	0.1042634232
126	0.1035758029
127	0.1026805111
128	0.1022801827
129	0.1015814252
130	0.1007777963
131	0.1000680515
132	0.09931598272
133	0.09854624985
134	0.09772215405
135	0.09707792104
136	0.09634701966
137	0.09585557783
138	0.09535427
139	0.09473075255
140	0.0938660195
141	0.09329103298
142	0.09232778616
143	0.09173262769
144	0.09087157325
145	0.08983791984
146	0.08944522554
147	0.08884651821
148	0.0879388954
149	0.08741401105
150	0.08701910609
151	0.08650499347
152	0.08597637289
153	0.08583324251
154	0.0851625396
155	0.08481616432
156	0.084360915
157	0.08407235281
158	0.08399617334
159	0.08317062792
160	0.08277886695
161	0.08198533685
162	0.08121280994
163	0.08054750374
164	0.08003233565
165	0.07983235314
166	0.07965336565
167	0.0789273964
168	0.07869011371
169	0.07830690172
170	0.07771856736
171	0.07717478082
172	0.07679340374
173	0.07644464808
174	0.07561537668
175	0.07508391512
176	0.07426075401
177	0.07372073192
178	0.07324980709
179	0.07301186408
180	0.07232501525
181	0.07171341444
182	0.07140671779
183	0.07096574795
184	0.07087213041
185	0.07048362708
186	0.07029186236
187	0.06992247801
188	0.06968531684
189	0.06906151896
190	0.06826960934
191	0.06739048411
192	0.06669713552
193	0.06624653601
194	0.0657236202
195	0.06536977472
196	0.06524979062
197	0.0649070737
198	0.06468702628
199	0.06418788793
200	0.06361557077
201	0.06311635876
202	0.0629102774
203	0.06250065271
204	0.06190544534
205	0.061794755
206	0.06151756727
207	0.06106591483
208	0.06084971624
209	0.06056922743
210	0.06002714807
211	0.05968548243
212	0.05940667459
213	0.0590434608
214	0.05874487134
215	0.05842140924
216	0.0579616552
217	0.05775247298
